     Total   Exclusive  Set shared  Filename
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/AffirmTrust_Networking.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/AffirmTrust_Premium.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/AffirmTrust_Premium_ECC.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/Amazon_Root_CA_1.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/Amazon_Root_CA_2.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/Amazon_Root_CA_3.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/Amazon_Root_CA_4.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/Atos_TrustedRoot_2011.pem
   4.00KiB     4.00KiB           -  /var/lib/ca-certificates/openssl/Autoridad_de_Certificacion_Firmaprofesional_CIF_A62634068.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/Baltimore_CyberTrust_Root.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/Buypass_Class_2_Root_CA.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/Buypass_Class_3_Root_CA.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/CA_Disig_Root_R2.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/Camerfirma_Chambers_of_Commerce_Root.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/Camerfirma_Global_Chambersign_Root.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/Certigna.pem
   4.00KiB     4.00KiB           -  /var/lib/ca-certificates/openssl/Certigna_Root_CA.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/certSIGN_ROOT_CA.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/Certum_Root_CA.pem
   4.00KiB     4.00KiB           -  /var/lib/ca-certificates/openssl/Certum_Trusted_Network_CA_2.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/Certum_Trusted_Network_CA.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/CFCA_EV_ROOT.pem
   4.00KiB     4.00KiB           -  /var/lib/ca-certificates/openssl/Chambers_of_Commerce_Root_-_2008.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/Comodo_AAA_Services_root.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/COMODO_Certification_Authority.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/COMODO_ECC_Certification_Authority.pem
   4.00KiB     4.00KiB           -  /var/lib/ca-certificates/openssl/COMODO_RSA_Certification_Authority.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/Cybertrust_Global_Root.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/DigiCert_Assured_ID_Root_CA.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/DigiCert_Assured_ID_Root_G2.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/DigiCert_Assured_ID_Root_G3.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/DigiCert_Global_Root_CA.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/DigiCert_Global_Root_G2.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/DigiCert_Global_Root_G3.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/DigiCert_High_Assurance_EV_Root_CA.pem
   4.00KiB     4.00KiB           -  /var/lib/ca-certificates/openssl/DigiCert_Trusted_Root_G4.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/DST_Root_CA_X3.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/D-TRUST_Root_CA_3_2013.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/D-TRUST_Root_Class_3_CA_2_2009.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/D-TRUST_Root_Class_3_CA_2_EV_2009.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/EC-ACC.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/EE_Certification_Centre_Root_CA.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/emSign_ECC_Root_CA_-_C3.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/emSign_ECC_Root_CA_-_G3.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/emSign_Root_CA_-_C1.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/emSign_Root_CA_-_G1.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/Entrust.net_Premium_2048_Secure_Server_CA.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/Entrust_Root_Certification_Authority.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/Entrust_Root_Certification_Authority_-_EC1.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/Entrust_Root_Certification_Authority_-_G2.pem
   4.00KiB     4.00KiB           -  /var/lib/ca-certificates/openssl/Entrust_Root_Certification_Authority_-_G4.pem
   4.00KiB     4.00KiB           -  /var/lib/ca-certificates/openssl/ePKI_Root_Certification_Authority.pem
   4.00KiB     4.00KiB           -  /var/lib/ca-certificates/openssl/E-Tugra_Certification_Authority.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/GDCA_TrustAUTH_R5_ROOT.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/GeoTrust_Global_CA.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/GeoTrust_Primary_Certification_Authority.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/GeoTrust_Primary_Certification_Authority_-_G2.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/GeoTrust_Primary_Certification_Authority_-_G3.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/GeoTrust_Universal_CA.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/GeoTrust_Universal_CA_2.pem
   4.00KiB     4.00KiB           -  /var/lib/ca-certificates/openssl/Global_Chambersign_Root_-_2008.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/GlobalSign_ECC_Root_CA_-_R4.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/GlobalSign_ECC_Root_CA_-_R5.pem
